Country,Code,Year,Life Satisfaction,GDP per capita,Employment Rate (%)
Australia,AUS,2011,7.345,53257.047,72.65694
Australia,AUS,2012,7.35,54403.883,72.34558
Australia,AUS,2014,7.284,55489.07,71.56635
Australia,AUS,2015,7.313,55879.996,72.15796
Australia,AUS,2016,7.284,56529.953,72.38454
Australia,AUS,2017,7.272,56881.855,72.77106
Australia,AUS,2018,7.228,57647.844,73.48926
Australia,AUS,2019,7.2228,58048.617,74.11063
Australia,AUS,2020,7.183,57260.465,72.35858
Australia,AUS,2021,7.162,58327.414,74.58321
Australia,AUS,2022,7.095,60029.133,76.91293
Australia,AUS,2023,7.057,60684.96,77.21012
Australia,AUS,2024,6.974,60303.98,77.06196
Austria,AUT,2011,7.227,61272.258,71.1
Austria,AUT,2012,7.369,61376.723,71.425
Austria,AUT,2014,7.2,60845.66,71.075
Austria,AUT,2015,7.119,60951.688,71.1
Austria,AUT,2016,7.006,61572.71,71.55
Austria,AUT,2017,7.139,62535.9,72.2
Austria,AUT,2018,7.246,63778.027,73.025
Austria,AUT,2019,7.2942,64609.375,73.525
Austria,AUT,2020,7.268,60276.414,71.725
Austria,AUT,2021,7.163,62968.94,72.4
Austria,AUT,2022,7.097,65694.555,74.025
Austria,AUT,2023,6.905,64536.297,74.1
Austria,AUT,2024,6.81,63788.08,74.075
Belgium,BEL,2011,7.113,56585.3,61.925
Belgium,BEL,2012,6.967,56356.824,61.825
Belgium,BEL,2014,6.937,57002.91,61.9
Belgium,BEL,2015,6.929,57509.023,61.8
Belgium,BEL,2016,6.891,57901.496,62.3
Belgium,BEL,2017,6.927,58529.332,63.125
Belgium,BEL,2018,6.923,59357.69,64.45
Belgium,BEL,2019,6.8635,60479.977,65.3
Belgium,BEL,2020,6.834,57333.543,64.45
Belgium,BEL,2021,6.805,60669.215,65.3
Belgium,BEL,2022,6.859,62561.78,66.525
Belgium,BEL,2023,6.894,63095.402,66.55
Belgium,BEL,2024,6.91,63347.785,66.75
Bulgaria,BGR,2011,3.889,22321.125,57.6
Bulgaria,BGR,2012,3.981,22618.904,57.95
Bulgaria,BGR,2014,4.218,23455.58,60.2
Bulgaria,BGR,2015,4.217,24562.75,62.075
Bulgaria,BGR,2016,4.714,25636.852,62.6
Bulgaria,BGR,2017,4.933,26691.87,65.975
Bulgaria,BGR,2018,5.011,27691.01,66.85
Bulgaria,BGR,2019,5.1015,29150.043,69.6
Bulgaria,BGR,2020,5.266,28521.324,68.075
Bulgaria,BGR,2021,5.371,30959.111,68.475
Bulgaria,BGR,2022,5.466,32433.793,70.65
Bulgaria,BGR,2023,5.463,33073.816,70.675
Bulgaria,BGR,2024,5.554,34221.53,70.9
Canada,CAN,2011,7.499,53681.13,71.875
Canada,CAN,2012,7.477,54034.805,72.16666
Canada,CAN,2014,7.427,55723.484,72.36667
Canada,CAN,2015,7.404,55660.867,72.59167
Canada,CAN,2016,7.316,55606.156,72.525
Canada,CAN,2017,7.328,56612.33,73.48333
Canada,CAN,2018,7.278,57337.492,74.025
Canada,CAN,2019,7.2321,57583.848,74.59167
Canada,CAN,2020,7.103,54092.88,70.10833
Canada,CAN,2021,7.025,56995.117,73.50833
Canada,CAN,2022,6.961,58321.062,75.6
Canada,CAN,2023,6.9,57517.44,75.89167
Canada,CAN,2024,6.803,56706.824,74.675
Switzerland,CHE,2011,7.499,74800.89,78.35
Switzerland,CHE,2012,7.65,74883.62,78.475
Switzerland,CHE,2014,7.587,76189.6,78.75
Switzerland,CHE,2015,7.509,76566.08,79.2
Switzerland,CHE,2016,7.494,77301.21,79.6
Switzerland,CHE,2017,7.487,77626.91,79.8
Switzerland,CHE,2018,7.48,79261.36,80.1
Switzerland,CHE,2019,7.5599,79596.7,80.475
Switzerland,CHE,2020,7.571,77324.89,79.925
Switzerland,CHE,2021,7.512,81001.414,79.6
Switzerland,CHE,2022,7.24,82777.3,80.1
Switzerland,CHE,2023,7.06,82295.3,80.65
Switzerland,CHE,2024,6.935,82286.18,80.375
Chile,CHL,2011,6.128,25366.27,62.04338
Chile,CHL,2012,6.587,26670.498,62.65226
Chile,CHL,2014,6.67,27505.049,63.23603
Chile,CHL,2015,6.705,27811.375,63.499
Chile,CHL,2016,6.652,27958.729,63.34486
Chile,CHL,2017,6.476,27892.994,63.90356
Chile,CHL,2018,6.444,28492.662,64.09549
Chile,CHL,2019,6.2285,28218.535,64.09286
